SAP Community Tags;;;;;;;;;;;
"And Associated ""Tag Pages""";;;;;;;;;;;
;;;;;;;;;;;
Tag Names;;;;;;;;Allowed Tagging;Term ID;Associated Tag Page (Click on a link to open the page and follow the tag);
Database;;;;;;;(top level);;;;
;IBM DB2 for i;;;;;;(level 1);Primary and secondary;17849765017455686912817263347948;https://go.sap.com/community/tag.html?id=17849765017455686912817263347948;
;IBM DB2 for Linux, Unix and Windows;;;;;;(level 1);Primary and secondary;478365276179134788459108226555898;https://go.sap.com/community/tag.html?id=478365276179134788459108226555898;
;IBM DB2 for z/OS;;;;;;(level 1);Primary and secondary;452226995734089969488497968524231;https://go.sap.com/community/tag.html?id=452226995734089969488497968524231;
;Microsoft SQL Server;;;;;;(level 1);Primary and secondary;891349005586930604519575996418053;https://go.sap.com/community/tag.html?id=891349005586930604519575996418053;
;Oracle Database;;;;;;(level 1);Primary and secondary;266216885309448000234589693334884;https://go.sap.com/community/tag.html?id=266216885309448000234589693334884;
;SAP MaxDB;;;;;;(level 1);Primary and secondary;571267881358674984386133031541144;https://go.sap.com/community/tag.html?id=571267881358674984386133031541144;
Event;;;;;;;(top level);;;;
;SAP Ariba Live;;;;;;(level 1);Primary and secondary;416894455820420072239036152312992;https://go.sap.com/community/tag.html?id=416894455820420072239036152312992;
;SAP CodeJam;;;;;;(level 1);Primary and secondary;523757421691906837442183267052576;https://go.sap.com/community/tag.html?id=523757421691906837442183267052576;
;SAP d-kom;;;;;;(level 1);Primary and secondary;580913076837832717520572513123048;https://go.sap.com/community/tag.html?id=580913076837832717520572513123048;
;SAP FKOM;;;;;;(level 1);Primary and secondary;432847304412867685958853184971807;https://go.sap.com/community/tag.html?id=432847304412867685958853184971807;
;SAP Forum;;;;;;(level 1);Primary and secondary;414520970114519380680684216781222;https://go.sap.com/community/tag.html?id=414520970114519380680684216781222;
;SAP InnoJam;;;;;;(level 1);Primary and secondary;785430894859484524744777813922285;https://go.sap.com/community/tag.html?id=785430894859484524744777813922285;
;SAP Inside Track;;;;;;(level 1);Primary and secondary;72472722867005232775920452375500;https://go.sap.com/community/tag.html?id=72472722867005232775920452375500;
;SAP S-KOM;;;;;;(level 1);Primary and secondary;565925756809677459043752802023517;https://go.sap.com/community/tag.html?id=565925756809677459043752802023517;
;SAP Select;;;;;;(level 1);Primary and secondary;82972118795511538693897596675887;https://go.sap.com/community/tag.html?id=82972118795511538693897596675887;
;SAP TechEd;;;;;;(level 1);Primary and secondary;755421404636447943131706525840948;https://go.sap.com/community/tag.html?id=755421404636447943131706525840948;
;SAPPHIRE NOW;;;;;;(level 1);Primary and secondary;346083195931624615410618362498977;https://go.sap.com/community/tag.html?id=346083195931624615410618362498977;
;SuccessConnect;;;;;;(level 1);Primary and secondary;673499795378732112340183023264489;https://go.sap.com/community/tag.html?id=673499795378732112340183023264489;
Industry;;;;;;;(top level);;;;
;Aerospace and Defense;;;;;;(level 1);Primary and secondary;192814547175000220653543;https://go.sap.com/community/tag.html?id=192814547175000220653543;
;Automotive;;;;;;(level 1);Primary and secondary;56387771929354094609172;https://go.sap.com/community/tag.html?id=56387771929354094609172;
;Banking;;;;;;(level 1);Primary and secondary;131623764915182240635655;https://go.sap.com/community/tag.html?id=131623764915182240635655;
;Chemicals;;;;;;(level 1);Primary and secondary;41698360237425736876524;https://go.sap.com/community/tag.html?id=41698360237425736876524;
;Consumer Products;;;;;;(level 1);Primary and secondary;22197834566642743784643;https://go.sap.com/community/tag.html?id=22197834566642743784643;
;Defense and Security;;;;;;(level 1);Primary and secondary;159367983329805292011158;https://go.sap.com/community/tag.html?id=159367983329805292011158;
;Engineering, Construction and Operations;;;;;;(level 1);Primary and secondary;193926939960921617562539;https://go.sap.com/community/tag.html?id=193926939960921617562539;
;Healthcare;;;;;;(level 1);Primary and secondary;145882333770114278757787;https://go.sap.com/community/tag.html?id=145882333770114278757787;
;High Tech;;;;;;(level 1);Primary and secondary;141065692368283635970801;https://go.sap.com/community/tag.html?id=141065692368283635970801;
;Higher Education and Research;;;;;;(level 1);Primary and secondary;148449952393846517506952;https://go.sap.com/community/tag.html?id=148449952393846517506952;
;Industrial Machinery and Components;;;;;;(level 1);Primary and secondary;42513095034597134398119;https://go.sap.com/community/tag.html?id=42513095034597134398119;
;Insurance;;;;;;(level 1);Primary and secondary;97996813156586659752541;https://go.sap.com/community/tag.html?id=97996813156586659752541;
;Life Sciences;;;;;;(level 1);Primary and secondary;95174915017257381839339;https://go.sap.com/community/tag.html?id=95174915017257381839339;
;Media;;;;;;(level 1);Primary and secondary;46151026338704711996502;https://go.sap.com/community/tag.html?id=46151026338704711996502;
;Mill Products;;;;;;(level 1);Primary and secondary;31958591515119384139674;https://go.sap.com/community/tag.html?id=31958591515119384139674;
;Mining;;;;;;(level 1);Primary and secondary;140366652636409988283894;https://go.sap.com/community/tag.html?id=140366652636409988283894;
;Oil and Gas;;;;;;(level 1);Primary and secondary;156805312755941004032364;https://go.sap.com/community/tag.html?id=156805312755941004032364;
;Professional Services;;;;;;(level 1);Primary and secondary;14945408660319805935548;https://go.sap.com/community/tag.html?id=14945408660319805935548;
;Public Sector;;;;;;(level 1);Primary and secondary;130110653021563432906662;https://go.sap.com/community/tag.html?id=130110653021563432906662;
;Retail;;;;;;(level 1);Primary and secondary;99624789925257984685885;https://go.sap.com/community/tag.html?id=99624789925257984685885;
;Sports and Entertainment;;;;;;(level 1);Primary and secondary;168405230419714604047700;https://go.sap.com/community/tag.html?id=168405230419714604047700;
;Telecommunications;;;;;;(level 1);Primary and secondary;88785088356999520628792;https://go.sap.com/community/tag.html?id=88785088356999520628792;
;Travel and Transportation;;;;;;(level 1);Primary and secondary;189126846661201547308884;https://go.sap.com/community/tag.html?id=189126846661201547308884;
;Utilities;;;;;;(level 1);Primary and secondary;48826897347003784259801;https://go.sap.com/community/tag.html?id=48826897347003784259801;
;Wholesale Distribution;;;;;;(level 1);Primary and secondary;26748694445508693237053;https://go.sap.com/community/tag.html?id=26748694445508693237053;
Operating System;;;;;;;(top level);;;;
;Android;;;;;;(level 1);Primary and secondary;881278332031788528690755509828342;https://go.sap.com/community/tag.html?id=881278332031788528690755509828342;
;HP-UX;;;;;;(level 1);Primary and secondary;280820666226884166762512427258366;https://go.sap.com/community/tag.html?id=280820666226884166762512427258366;
;IBM AIX;;;;;;(level 1);Primary and secondary;26125672434185216577101224541705;https://go.sap.com/community/tag.html?id=26125672434185216577101224541705;
